"Search Criteria: "

"Filing Operator:",,,"BLACKBEARD OPERATING, LLC (073056)",,,,,,District:,,Statewide
"Prod Month:",,," Oct 2021",,,,,,"Lease Type:",,Both

,,,,,,,,,"Oil/Condensate (Whole Barrels)",,,,,"Gas/Casinghead Gas - MCF",,
,,,,,,,,,,,Disposition,,,,Disposition,
"Multiple Reports","Lease Type",District,"RRC Identifier","Field Name","Lease Name","Gas Well ID","Lease Total","Commingle Permit No.","On Hand Beginning of Month",Production,Volume,Code,"On Hand End of Month","Formation Production",Volume,Code
Y,Gas,08,154633,"KERMIT (YATES)","WALTON, J. B.","  297  ",,,N/A,0,,,0,0,,
Y,Gas,08,156468,"KERMIT (YATES)","WALTON, J. B.","  301  ",,,N/A,0,,,0,0,,
Y,Gas,08,159638,"KERMIT (YATES)","WALTON, J. B","  348  ",,,N/A,0,,,0,0,,
Y,Gas,08,163363,"KERMIT (YATES)","WALTON, J. B.","  291  ",,,N/A,0,,,0,0,,
Y,Gas,08,166074,"KERMIT (YATES)","WALTON, J. B.","  295  ",,,N/A,0,,,0,0,,
Y,Gas,08,166717,"KERMIT (YATES)","WALTON, J. B.","  310  ",,5009,0,0,,,0,0,,
Y,Oil,08,03286,"KEYSTONE (COLBY)","STATE-WALTON A/C 2",,,,106,0,,,203,0,,
Y,Oil,08,03287,"KEYSTONE (COLBY)","WALTON, J. B. A/C 2",,,5009,410,0,,,545,0,,
Y,Oil,08,03317,"KEYSTONE (COLBY)","BASHARA, J. M.",,,3626,115,0,,,69,0,,
Y,Oil,08,03320,"KEYSTONE (COLBY)","PERKINS, J. J. -B- UPPER",,,,59,0,,,59,0,,
Y,Oil,08,27106,"KEYSTONE (COLBY)","KEYSTONE CATTLE COMPANY",,,5122,134,0,,,8,0,,
Y,Oil,08,31917,"KEYSTONE (COLBY)",WADDELL,,,5584,N/A,0,,,0,0,,
Y,Gas,08,257525,"KEYSTONE (COLBY)","WALTON, J. B. A/C 2","  347  ",,5009,N/A,0,,,0,0,,
Y,Oil,08,46977,"KEYSTONE (CONSOLIDATED)",BASHARA-PROTHRO,,,,741,0,,,785,0,,
Y,Oil,08,46979,"KEYSTONE (CONSOLIDATED)","BASHARA, J. M.",,,,142,0,,,185,0,,
Y,Oil,08,46980,"KEYSTONE (CONSOLIDATED)","KEYSTONE CATTLE CO.",,,,N/A,0,,,0,0,,
Y,Oil,08,46984,"KEYSTONE (CONSOLIDATED)","BASHARA, M. J.",,,,N/A,0,,,0,0,,
Y,Oil,08,46985,"KEYSTONE (CONSOLIDATED)","EAST KEYSTONE (SAN A HOLT UNIT)",,,,"1,458",0,,,135,0,,
Y,Oil,08,49976,"KEYSTONE (CONSOLIDATED)","STATE-WALTON 'E'",,,,356,0,,,482,0,,
Y,Gas,08,152785,"KEYSTONE (CONSOLIDATED)","BASHARA, M.J. UNIT","    1  ",,,89,0,,,52,0,,
Y,Gas,08,183074,"KEYSTONE (CONSOLIDATED)","STATE-WALTON 'E'","   38H ",,,N/A,0,,,0,0,,
Y,Oil,08,23120,"KEYSTONE (SAN ANDRES)",WADDELL,,,5584,206,0,,,249,0,,
Y,Oil,08,23838,"KEYSTONE (SAN ANDRES)","WALTON ESTATE ""A""",,,,N/A,0,,,0,0,,
Y,Oil,08,35668,"KEYSTONE (SAN ANDRES)","J.J. PERKINS ""C""",,,,93,0,,,93,0,,
Y,Oil,08,43007,"KEYSTONE (SAN ANDRES)","EAST KEYSTONE(SAN A HOLT UNIT)",,,,98,0,,,111,0,,
Y,Oil,08,26628,"KEYSTONE, SW. (SAN ANDRES)","KEYSTONE CATTLE COMPANY",,,5122,213,0,,,528,0,,
,Oil,08,17869,"LEA (SAN ANDRES)","WADDELL, W. N. ET AL TR. H",,,4352,20,83,84,"   00  ",19,,78,"   10  "
,Oil,08,20935,"LEA, SOUTH (CLEAR FORK)","WADDELL, W. N. ET AL TR. H",,,4352,72,338,331,"   00  ",79,1,1,"   02  "
,,,,,,,,,,,,,,,249,"   10  "
,Oil,08,28619,"LEA, SOUTH (SAN ANGELO)","WADDELL, W.N. ETAL TR. H",,,4352,236,"1,015","1,014","   00  ",237,4,4,"   02  "
,,,,,,,,,,,,,,,"1,377","   10  "
,Oil,08,26509,"MARSTON RANCH (CLEARFORK)",EDWARDS,,,,211,35,180,"   01  ",66,0,,
Y,Oil,08,40713,"MARSTON RANCH (CLEARFORK)",WINTER,,,,214,738,714,"   01  ",238,"1,350","1,350","   02  "
Y,Oil,08,42684,"MARSTON RANCH (CLEARFORK)",GRAHAM,,,,783,"2,571","2,865","   01  ",489,"7,041","7,041","   02  "
Y,Oil,08,43408,"MARSTON RANCH (CLEARFORK)","DAVID L. MARSTON",,,,315,"1,754","1,454","   01  ",615,"4,112","4,112","   02  "
Y,Oil,08,44073,"MARSTON RANCH (CLEARFORK)",ALLAR-MARSTON,,,7588,318,981,"1,055","   01  ",244,"1,088","1,088","   02  "
Y,Oil,08,45832,"MARSTON RANCH (CLEARFORK)",MARSTON-KOEHN,,,,204,72,,,276,106,106,"   02  "
,Oil,08,46148,"MARSTON RANCH (CLEARFORK)",DABB,,,,270,75,156,"   01  ",189,151,151,"   02  "
,Oil,08,47993,"MARSTON RANCH (CLEARFORK)","EDWARD TEACH",,,7649,270,494,603,"   01  ",161,"1,411","1,411","   02  "
,Oil,08,48135,"MARSTON RANCH (CLEARFORK)","QUEEN ANNES REVENGE",,,,317,"1,105","1,093","   01  ",329,"3,035","3,035","   02  "
,Oil,08,48336,"MARSTON RANCH (CLEARFORK)","EDWARD TEACH SE",,,7649,149,274,334,"   01  ",89,"1,100","1,100","   02  "
,Oil,08,49375,"MARSTON RANCH (CLEARFORK)","EDWARD TEACH SW",,,7649,71,102,140,"   01  ",33,324,324,"   02  "
,Oil,08,51749,"MARSTON RANCH (CLEARFORK)","MAN OF WAR W",,,7903,0,0,,,0,0,,
,Oil,08,53025,"MARSTON RANCH (CLEARFORK)","BLACK BART",,,7903,140,0,,,140,0,,
,Oil,08,53422,"MARSTON RANCH (CLEARFORK)",SWASHBUCKLER,,,7781,322,251,410,"   01  ",163,"1,774","1,774","   02  "
,Oil,08,53498,"MARSTON RANCH (CLEARFORK)","SWASHBUCKLER SE",,,7781,24,255,113,"   01  ",166,225,225,"   02  "
,Oil,08,04232,"MCKEE (CLEAR FORK, LOWER)","WADDELL, W. N., ETAL",,,3803,0,0,,,0,0,,
,Gas,08,186517,"MCKEE (CLEAR FORK, MID.)","WADDELL, W. N. ET AL TR. I","  218  ",,3803,0,0,,,0,368,368,"   02  "
,,,,,,,,,,,,,,,4,"   10  "
,Gas,08,192876,"MCKEE (CLEAR FORK, MID.)","WADDELL, W. N. ET AL TR. I","  301  ",,3803,0,0,,,0,"1,507","1,507","   02  "
,,,,,,,,,,,,,,,28,"   10  "
,Gas,08,194368,"MCKEE (CLEAR FORK, MID.)","WADDELL, W. N. ET AL","  232  ",,3803,0,0,,,0,617,617,"   02  "
,,,,,,,,,,,,,,,45,"   10  "
,Gas,08,212805,"MCKEE (CLEAR FORK, MID.)","WADDELL, W. N. ET AL","  261  ",,,0,0,,,0,0,,
,Oil,08,24408,"MCKEE (WOLFCAMP)","WADDELL, W. N. ET AL TR 1",,,3803,0,0,,,0,0,,
,Oil,08,50100,"MONAHANS (CLEAR FORK)",DOUBLOON,,,,172,0,,,172,0,,
,Oil,08,52655,"MONAHANS (CLEAR FORK)","OCRACOKE ISLAND",,,,85,0,,,85,0,,
,Oil,08,51099,"MONAHANS, NORTH","SEALY SMITH FOUNDATION -A-",,,8814,597,"4,408","4,548","   01  ",457,"61,347","61,347","   02  "
,Oil,08,55551,"MONAHANS, NORTH","NELSON'S FOLLY",,,8814,51,524,502,"   01  ",73,973,973,"   02  "
,Oil,08,55726,"MONAHANS, NORTH",DORADO,,,,241,0,,,241,0,,
,Oil,08,34235,"MONAHANS, NORTH (CLEARFORK)","HOGG, F. H.",,,8146,145,29,,,174,0,,
,Oil,08,48675,"MONAHANS, NORTH (CLEARFORK)","WALK THE PLANK",,,8672,625,"2,056","2,206","   01  ",475,"9,928","9,928","   02  "
,Oil,08,49056,"MONAHANS, NORTH (CLEARFORK)","MITCHELL, C.",,,,45,0,,,45,0,,
,Oil,08,49301,"MONAHANS, NORTH (CLEARFORK)",MAROONER,,,8107,522,"3,791","3,793","   01  ",520,"12,096","12,096","   02  "
,Oil,08,49353,"MONAHANS, NORTH (CLEARFORK)","FRANCIS DRAKE",,,8146,525,"1,991","2,065","   01  ",451,"10,528","10,528","   02  "
,Oil,08,49490,"MONAHANS, NORTH (CLEARFORK)","SEALY SMITH FOUNDATION -A-",,,8814,"1,941","10,385","10,531","   01  ","1,795","80,181","80,181","   02  "
,Oil,08,49561,"MONAHANS, NORTH (CLEARFORK)",HORNSWOGGLE,,,,415,"5,823","5,686","   01  ",552,"18,902","18,902","   02  "
Y,Oil,08,50028,"MONAHANS, NORTH (CLEARFORK)","SEALY-SMITH FOUNDATION ""B""",,,,"1,074","7,175","7,644","   01  ",605,"56,413","56,413","   02  "
,Oil,08,50090,"MONAHANS, NORTH (CLEARFORK)","PEG LEG",,,,0,0,,,0,0,,
,Oil,08,50130,"MONAHANS, NORTH (CLEARFORK)",COMMANDEER,,,8107,304,"2,357","2,356","   01  ",305,"14,993","14,993","   02  "
,Oil,08,50423,"MONAHANS, NORTH (CLEARFORK)","FRANCIS DRAKE N",,,8146,518,"1,998","2,063","   01  ",453,"8,368","8,368","   02  "
,Oil,08,51085,"MONAHANS, NORTH (CLEARFORK)","GILDED LADY",,,,0,0,,,0,0,,
,Oil,08,51202,"MONAHANS, NORTH (CLEARFORK)","CAPTAIN MORGAN",,,8107,387,"2,642","2,708","   01  ",321,"10,724","10,724","   02  "
,Oil,08,52357,"MONAHANS, NORTH (CLEARFORK)","SPANISH MAIN W",,,8814,165,"2,249","2,156","   01  ",258,"7,407","7,407","   02  "
Y,Oil,08,52884,"MONAHANS, NORTH (CLEARFORK)",PRIVATEER,,,8844,126,"1,506","1,531","   01  ",101,"3,599","3,599","   02  "
Y,Oil,08,52891,"MONAHANS, NORTH (CLEARFORK)","DRAKE'S DRUM",,,8844,79,"1,093","1,099","   01  ",73,"6,619","6,619","   02  "
,Oil,08,53009,"MONAHANS, NORTH (CLEARFORK)","CAPTAIN KIDD",,T,,607,"1,795","1,792","   01  ",610,"4,704","4,704","   02  "
,,08,53009,"MONAHANS, NORTH (CLEARFORK)","CAPTAIN KIDD",,,8672,160,476,526,"   01  ",110,,,
,,08,53009,"MONAHANS, NORTH (CLEARFORK)","CAPTAIN KIDD",,,9999,447,"1,319","1,266","   01  ",500,,,
Y,Oil,08,53084,"MONAHANS, NORTH (CLEARFORK)",DINGHY,,,8844,126,"1,776","1,783","   01  ",119,"12,419","12,419","   02  "
