"Search Criteria: "

"Filing Operator:",,,"BLACKBEARD OPERATING, LLC (073056)",,,,,,District:,,Statewide
"Prod Month:",,," Jun 2021",,,,,,"Lease Type:",,Both

,,,,,,,,,"Oil/Condensate (Whole Barrels)",,,,,"Gas/Casinghead Gas - MCF",,
,,,,,,,,,,,Disposition,,,,Disposition,
"Multiple Reports","Lease Type",District,"RRC Identifier","Field Name","Lease Name","Gas Well ID","Lease Total","Commingle Permit No.","On Hand Beginning of Month",Production,Volume,Code,"On Hand End of Month","Formation Production",Volume,Code
Y,Gas,08,113075,"KERMIT (YATES)","WALTON, J. B.","  218  ",,,0,0,,,0,36,36,"   02  "
Y,Gas,08,125356,"KERMIT (YATES)","WALTON, J. B.","  319  ",,,0,0,,,0,76,76,"   02  "
Y,Gas,08,125849,"KERMIT (YATES)","STATE WALTON","   76  ",,,0,0,,,0,181,181,"   02  "
Y,Gas,08,125923,"KERMIT (YATES)","WALTON, J. B.","  320  ",,,0,0,,,0,0,,
Y,Gas,08,125924,"KERMIT (YATES)","WALTON, J. B.","  321  ",,,0,0,,,0,208,208,"   02  "
Y,Gas,08,126251,"KERMIT (YATES)","WALTON, J. B.","  324  ",,,0,0,,,0,290,290,"   02  "
Y,Gas,08,126252,"KERMIT (YATES)","WALTON, J. B.","  325  ",,,0,0,,,0,210,210,"   02  "
Y,Gas,08,126253,"KERMIT (YATES)","WALTON, J. B.","  327  ",,,0,0,,,0,0,,
Y,Gas,08,126254,"KERMIT (YATES)","WALTON, J. B.","  328  ",,,0,0,,,0,154,154,"   02  "
Y,Gas,08,126255,"KERMIT (YATES)","WALTON, J. B.","  329  ",,,0,0,,,0,66,66,"   02  "
Y,Gas,08,126354,"KERMIT (YATES)","WALTON, J. B.","  296  ",,,0,0,,,0,199,199,"   02  "
Y,Gas,08,128612,"KERMIT (YATES)",STATE-WALTON,"   71  ",,,0,0,,,0,368,368,"   02  "
Y,Gas,08,128948,"KERMIT (YATES)","WALTON, J. B.","  330  ",,,0,0,,,0,26,26,"   02  "
