"Search Criteria: "

"Filing Operator:",,,"BLACKBEARD OPERATING, LLC (073056)",,,,,,District:,,Statewide
"Prod Month:",,," Jan 2021",,,,,,"Lease Type:",,Both

,,,,,,,,,"Oil/Condensate (Whole Barrels)",,,,,"Gas/Casinghead Gas - MCF",,
,,,,,,,,,,,Disposition,,,,Disposition,
"Multiple Reports","Lease Type",District,"RRC Identifier","Field Name","Lease Name","Gas Well ID","Lease Total","Commingle Permit No.","On Hand Beginning of Month",Production,Volume,Code,"On Hand End of Month","Formation Production",Volume,Code
,Gas,08,185905,"GOLDSMITH, EAST (QUEEN)","SCHARBAUER ""G""","    8  ",,,0,0,,,0,0,,
,Oil,08,20084,"GOLDSMITH, N. (SAN ANDRES, CON.)","SCHARBAUER -N-",,,,18,0,,,18,0,,
,Oil,08,03218,KERMIT,"WALTON, J. B.",,,5009,278,188,327,"   01  ",139,162,162,"   02  "
,Oil,08,03264,"KERMIT (ELLENBURGER)","STATE WALTON -E-",,,,406,"1,178","1,001","   01  ",583,"17,556","17,556","   02  "
,Oil,08,36172,"KERMIT (MCKEE)","STATE WALTON -E- A/C 4",,,,66,37,,,103,"1,395","1,395","   02  "
,Gas,08,159640,"KERMIT (MCKEE)","STATE-WALTON ""E""","   27  ",,,99,89,,,188,"1,420","1,420","   02  "
,Gas,08,176381,"KERMIT (MCKEE)","STATE-WALTON -E- A/C 4","    1M ",,5439,0,0,,,0,0,,
,Gas,08,177879,"KERMIT (MCKEE)","STATE-WALTON ""E""","   36M ",,5439,0,0,,,0,901,901,"   02  "
,Gas,08,178576,"KERMIT (MCKEE)","STATE-WALTON ""E""","   35M ",,5439,0,0,,,0,0,,
,Gas,08,178577,"KERMIT (MCKEE)","STATE-WALTON ""E""","   37M ",,5439,0,0,,,0,"3,308","3,308","   02  "
,Gas,08,202802,"KERMIT (MCKEE)","STATE WALTON -E-","   34M ",,5439,0,0,,,0,"1,832","1,832","   02  "
,Gas,08,020262,"KERMIT (YATES)",STATE-WALTON,"   36 C",,,0,0,,,0,227,227,"   02  "
,Gas,08,039223,"KERMIT (YATES)","WALTON, J. B.","  300 U",,,0,0,,,0,322,322,"   02  "
,Gas,08,113075,"KERMIT (YATES)","WALTON, J. B.","  218  ",,,0,0,,,0,40,40,"   02  "
,Gas,08,125356,"KERMIT (YATES)","WALTON, J. B.","  319  ",,,0,0,,,0,85,85,"   02  "
,Gas,08,125849,"KERMIT (YATES)","STATE WALTON","   76  ",,,0,0,,,0,204,204,"   02  "
,Gas,08,125923,"KERMIT (YATES)","WALTON, J. B.","  320  ",,,0,0,,,0,0,,
,Gas,08,125924,"KERMIT (YATES)","WALTON, J. B.","  321  ",,,0,0,,,0,233,233,"   02  "
,Gas,08,126251,"KERMIT (YATES)","WALTON, J. B.","  324  ",,,0,0,,,0,326,326,"   02  "
,Gas,08,126252,"KERMIT (YATES)","WALTON, J. B.","  325  ",,,0,0,,,0,236,236,"   02  "
,Gas,08,126253,"KERMIT (YATES)","WALTON, J. B.","  327  ",,,0,0,,,0,0,,
,Gas,08,126254,"KERMIT (YATES)","WALTON, J. B.","  328  ",,,0,0,,,0,173,173,"   02  "
,Gas,08,126255,"KERMIT (YATES)","WALTON, J. B.","  329  ",,,0,0,,,0,74,74,"   02  "
,Gas,08,126354,"KERMIT (YATES)","WALTON, J. B.","  296  ",,,0,0,,,0,224,224,"   02  "
,Gas,08,128612,"KERMIT (YATES)",STATE-WALTON,"   71  ",,,0,0,,,0,413,413,"   02  "
,Gas,08,128948,"KERMIT (YATES)","WALTON, J. B.","  330  ",,,0,0,,,0,29,29,"   02  "
,Gas,08,128959,"KERMIT (YATES)","WALTON, J. B.","  335  ",,,0,0,,,0,22,22,"   02  "
,Gas,08,129967,"KERMIT (YATES)","WALTON, J. B.","  337  ",,,0,0,,,0,75,75,"   02  "
,Gas,08,129968,"KERMIT (YATES)","WALTON, J. B.","  338  ",,,0,0,,,0,955,955,"   02  "
,Gas,08,130227,"KERMIT (YATES)","WALTON, J. B.","  332  ",,,0,0,,,0,28,28,"   02  "
,Gas,08,130310,"KERMIT (YATES)","WALTON, J. B.","  339  ",,,0,0,,,0,79,79,"   02  "
,Gas,08,130375,"KERMIT (YATES)","WALTON, J. B.","  342  ",,,0,0,,,0,265,265,"   02  "
,Gas,08,130531,"KERMIT (YATES)",STATE-WALTON,"   85  ",,,0,0,,,0,482,482,"   02  "
,Gas,08,130657,"KERMIT (YATES)","WALTON, J. B.","  341  ",,5009,0,0,,,0,52,52,"   02  "
,Gas,08,130798,"KERMIT (YATES)","WALTON, J. B.","  286  ",,,0,0,,,0,279,279,"   02  "
,Gas,08,131342,"KERMIT (YATES)","STATE WALTON","   87  ",,,0,0,,,0,"1,053","1,053","   02  "
,Gas,08,131343,"KERMIT (YATES)","STATE WALTON","   86  ",,,0,0,,,0,221,221,"   02  "
,Gas,08,131838,"KERMIT (YATES)","WALTON, J. B.","  314  ",,,0,0,,,0,537,537,"   02  "
,Gas,08,132004,"KERMIT (YATES)","WALTON, J. B.","  336  ",,,0,0,,,0,"1,201","1,201","   02  "
,Gas,08,133925,"KERMIT (YATES)","STATE WALTON","   88  ",,,0,0,,,0,165,165,"   02  "
,Gas,08,134801,"KERMIT (YATES)","WALTON, J. B.","  346  ",,,0,0,,,0,329,329,"   02  "
,Gas,08,150248,"KERMIT (YATES)","WALTON, J. B.","  194  ",,,0,0,,,0,251,251,"   02  "
,Gas,08,150252,"KERMIT (YATES)","WALTON, J.B. AC/2","  198  ",,,0,0,,,0,240,240,"   02  "
,Gas,08,151063,"KERMIT (YATES)","STATE WALTON","   67  ",,,0,0,,,0,559,559,"   02  "
,Gas,08,153552,"KERMIT (YATES)","STATE WALTON","   69  ",,,0,0,,,0,0,,
,Gas,08,154633,"KERMIT (YATES)","WALTON, J. B.","  297  ",,,0,0,,,0,347,347,"   02  "
,Gas,08,156468,"KERMIT (YATES)","WALTON, J. B.","  301  ",,,0,0,,,0,11,11,"   02  "
,Gas,08,159638,"KERMIT (YATES)","WALTON, J. B","  348  ",,,0,0,,,0,247,247,"   02  "
,Gas,08,163363,"KERMIT (YATES)","WALTON, J. B.","  291  ",,,0,0,,,0,66,66,"   02  "
,Gas,08,166074,"KERMIT (YATES)","WALTON, J. B.","  295  ",,,0,0,,,0,34,34,"   02  "
,Gas,08,166717,"KERMIT (YATES)","WALTON, J. B.","  310  ",,5009,0,0,,,0,0,,
,Oil,08,03286,"KEYSTONE (COLBY)","STATE-WALTON A/C 2",,,,369,510,666,"   01  ",213,640,640,"   02  "
,Oil,08,03287,"KEYSTONE (COLBY)","WALTON, J. B. A/C 2",,,5009,526,"1,397","1,366","   01  ",557,450,450,"   02  "
,Oil,08,03317,"KEYSTONE (COLBY)","BASHARA, J. M.",,,3626,54,92,90,"   01  ",56,53,53,"   02  "
,Oil,08,03320,"KEYSTONE (COLBY)","PERKINS, J. J. -B- UPPER",,,,59,0,,,59,0,,
,Oil,08,27106,"KEYSTONE (COLBY)","KEYSTONE CATTLE COMPANY",,,5122,6,17,18,"   01  ",5,13,13,"   02  "
,Oil,08,31917,"KEYSTONE (COLBY)",WADDELL,,,5584,0,0,,,0,0,,
,Gas,08,257525,"KEYSTONE (COLBY)","WALTON, J. B. A/C 2","  347  ",,5009,0,0,,,0,0,,
