"Search Criteria: "

"Filing Operator:",,,"BLACKBEARD OPERATING, LLC (073056)",,,,,,District:,,Statewide
"Prod Month:",,," Mar 2021",,,,,,"Lease Type:",,Both

,,,,,,,,,"Oil/Condensate (Whole Barrels)",,,,,"Gas/Casinghead Gas - MCF",,
,,,,,,,,,,,Disposition,,,,Disposition,
"Multiple Reports","Lease Type",District,"RRC Identifier","Field Name","Lease Name","Gas Well ID","Lease Total","Commingle Permit No.","On Hand Beginning of Month",Production,Volume,Code,"On Hand End of Month","Formation Production",Volume,Code
,Gas,08,130798,"KERMIT (YATES)","WALTON, J. B.","  286  ",,,0,0,,,0,259,259,"   02  "
,Gas,08,131342,"KERMIT (YATES)","STATE WALTON","   87  ",,,0,0,,,0,977,977,"   02  "
,Gas,08,131343,"KERMIT (YATES)","STATE WALTON","   86  ",,,0,0,,,0,205,205,"   02  "
,Gas,08,131838,"KERMIT (YATES)","WALTON, J. B.","  314  ",,,0,0,,,0,499,499,"   02  "
,Gas,08,132004,"KERMIT (YATES)","WALTON, J. B.","  336  ",,,0,0,,,0,"1,115","1,115","   02  "
,Gas,08,133925,"KERMIT (YATES)","STATE WALTON","   88  ",,,0,0,,,0,153,153,"   02  "
,Gas,08,134801,"KERMIT (YATES)","WALTON, J. B.","  346  ",,,0,0,,,0,306,306,"   02  "
,Gas,08,150248,"KERMIT (YATES)","WALTON, J. B.","  194  ",,,0,0,,,0,233,233,"   02  "
,Gas,08,150252,"KERMIT (YATES)","WALTON, J.B. AC/2","  198  ",,,0,0,,,0,223,223,"   02  "
,Gas,08,151063,"KERMIT (YATES)","STATE WALTON","   67  ",,,0,0,,,0,519,519,"   02  "
,Gas,08,153552,"KERMIT (YATES)","STATE WALTON","   69  ",,,0,0,,,0,0,,
,Gas,08,154633,"KERMIT (YATES)","WALTON, J. B.","  297  ",,,0,0,,,0,322,322,"   02  "
,Gas,08,156468,"KERMIT (YATES)","WALTON, J. B.","  301  ",,,0,0,,,0,10,10,"   02  "
,Gas,08,159638,"KERMIT (YATES)","WALTON, J. B","  348  ",,,0,0,,,0,229,229,"   02  "
,Gas,08,163363,"KERMIT (YATES)","WALTON, J. B.","  291  ",,,0,0,,,0,61,61,"   02  "
,Gas,08,166074,"KERMIT (YATES)","WALTON, J. B.","  295  ",,,0,0,,,0,31,31,"   02  "
,Gas,08,166717,"KERMIT (YATES)","WALTON, J. B.","  310  ",,5009,0,0,,,0,0,,
,Oil,08,03286,"KEYSTONE (COLBY)","STATE-WALTON A/C 2",,,,213,495,487,"   01  ",221,615,615,"   02  "
,Oil,08,03287,"KEYSTONE (COLBY)","WALTON, J. B. A/C 2",,,5009,633,"1,455","1,512","   01  ",576,951,951,"   02  "
,Oil,08,03317,"KEYSTONE (COLBY)","BASHARA, J. M.",,,3626,75,87,88,"   01  ",74,57,57,"   02  "
,Oil,08,03320,"KEYSTONE (COLBY)","PERKINS, J. J. -B- UPPER",,,,59,0,,,59,0,,
,Oil,08,27106,"KEYSTONE (COLBY)","KEYSTONE CATTLE COMPANY",,,5122,5,17,16,"   01  ",6,16,16,"   02  "
,Oil,08,31917,"KEYSTONE (COLBY)",WADDELL,,,5584,0,0,,,0,0,,
,Gas,08,257525,"KEYSTONE (COLBY)","WALTON, J. B. A/C 2","  347  ",,5009,0,0,,,0,0,,
,Oil,08,46977,"KEYSTONE (CONSOLIDATED)",BASHARA-PROTHRO,,,,390,"1,568","1,476","   01  ",482,"10,437","10,437","   02  "
,Oil,08,46979,"KEYSTONE (CONSOLIDATED)","BASHARA, J. M.",,,,204,249,242,"   01  ",211,202,202,"   02  "
,Oil,08,46980,"KEYSTONE (CONSOLIDATED)","KEYSTONE CATTLE CO.",,,,0,0,,,0,0,,
,Oil,08,46984,"KEYSTONE (CONSOLIDATED)","BASHARA, M. J.",,,,0,0,,,0,0,,
,Oil,08,46985,"KEYSTONE (CONSOLIDATED)","EAST KEYSTONE (SAN A HOLT UNIT)",,,,"1,401","2,462","1,513","   01  ","2,350",951,951,"   02  "
,Oil,08,49976,"KEYSTONE (CONSOLIDATED)","STATE-WALTON 'E'",,,,379,"1,009",983,"   01  ",405,"5,507","5,507","   02  "
,Gas,08,152785,"KEYSTONE (CONSOLIDATED)","BASHARA, M.J. UNIT","    1  ",,,52,0,,,52,187,187,"   02  "
,Gas,08,183074,"KEYSTONE (CONSOLIDATED)","STATE-WALTON 'E'","   38H ",,,0,0,,,0,0,,
,Oil,08,23120,"KEYSTONE (SAN ANDRES)",WADDELL,,,5584,198,113,,,311,51,51,"   02  "
