"Search Criteria: "

"Filing Operator:",,,"BLACKBEARD OPERATING, LLC (073056)",,,,,,District:,,Statewide
"Prod Month:",,," Nov 2021",,,,,,"Lease Type:",,Both

,,,,,,,,,"Oil/Condensate (Whole Barrels)",,,,,"Gas/Casinghead Gas - MCF",,
,,,,,,,,,,,Disposition,,,,Disposition,
"Multiple Reports","Lease Type",District,"RRC Identifier","Field Name","Lease Name","Gas Well ID","Lease Total","Commingle Permit No.","On Hand Beginning of Month",Production,Volume,Code,"On Hand End of Month","Formation Production",Volume,Code
,Oil,08,43408,"MARSTON RANCH (CLEARFORK)","DAVID L. MARSTON",,,,615,"2,044","2,006","   01  ",653,"6,798","6,798","   02  "
,Oil,08,44073,"MARSTON RANCH (CLEARFORK)",ALLAR-MARSTON,,,7588,244,924,733,"   01  ",435,"1,673","1,673","   02  "
Y,Oil,08,45832,"MARSTON RANCH (CLEARFORK)",MARSTON-KOEHN,,,,276,57,172,"   01  ",161,159,159,"   02  "
,Oil,08,46148,"MARSTON RANCH (CLEARFORK)",DABB,,,,189,83,,,272,149,149,"   02  "
,Oil,08,47993,"MARSTON RANCH (CLEARFORK)","EDWARD TEACH",,,7649,161,529,497,"   01  ",193,"1,318","1,318","   02  "
,Oil,08,48135,"MARSTON RANCH (CLEARFORK)","QUEEN ANNES REVENGE",,,,329,"1,132","1,013","   01  ",448,"3,195","3,195","   02  "
,Oil,08,48336,"MARSTON RANCH (CLEARFORK)","EDWARD TEACH SE",,,7649,89,343,307,"   01  ",125,"1,062","1,062","   02  "
,Oil,08,49375,"MARSTON RANCH (CLEARFORK)","EDWARD TEACH SW",,,7649,33,75,81,"   01  ",27,344,344,"   02  "
,Oil,08,51749,"MARSTON RANCH (CLEARFORK)","MAN OF WAR W",,,7903,0,0,,,0,0,,
,Oil,08,53025,"MARSTON RANCH (CLEARFORK)","BLACK BART",,,7903,140,0,,,140,0,,
,Oil,08,53422,"MARSTON RANCH (CLEARFORK)",SWASHBUCKLER,,,7781,163,303,176,"   01  ",290,"1,609","1,609","   02  "
,Oil,08,53498,"MARSTON RANCH (CLEARFORK)","SWASHBUCKLER SE",,,7781,166,324,180,"   01  ",310,310,310,"   02  "
,Oil,08,04232,"MCKEE (CLEAR FORK, LOWER)","WADDELL, W. N., ETAL",,,3803,0,0,,,0,0,,
Y,Gas,08,186517,"MCKEE (CLEAR FORK, MID.)","WADDELL, W. N. ET AL TR. I","  218  ",,3803,0,0,,,0,110,110,"   02  "
Y,Gas,08,192876,"MCKEE (CLEAR FORK, MID.)","WADDELL, W. N. ET AL TR. I","  301  ",,3803,0,0,,,0,"1,066","1,066","   02  "
Y,Gas,08,194368,"MCKEE (CLEAR FORK, MID.)","WADDELL, W. N. ET AL","  232  ",,3803,0,0,,,0,487,487,"   02  "
,Gas,08,212805,"MCKEE (CLEAR FORK, MID.)","WADDELL, W. N. ET AL","  261  ",,,0,0,,,0,0,,
,Oil,08,24408,"MCKEE (WOLFCAMP)","WADDELL, W. N. ET AL TR 1",,,3803,0,0,,,0,0,,
,Oil,08,50100,"MONAHANS (CLEAR FORK)",DOUBLOON,,,,172,0,,,172,0,,
,Oil,08,52655,"MONAHANS (CLEAR FORK)","OCRACOKE ISLAND",,,,85,0,,,85,0,,
,Oil,08,51099,"MONAHANS, NORTH","SEALY SMITH FOUNDATION -A-",,,8814,457,"3,879","3,896","   01  ",440,"54,150","54,150","   02  "
,Oil,08,55551,"MONAHANS, NORTH","NELSON'S FOLLY",,,8814,73,666,644,"   01  ",95,"1,147","1,147","   02  "
,Oil,08,55726,"MONAHANS, NORTH",DORADO,,,,241,0,,,241,0,,
,Oil,08,34235,"MONAHANS, NORTH (CLEARFORK)","HOGG, F. H.",,,8146,174,29,,,203,0,,
,Oil,08,48675,"MONAHANS, NORTH (CLEARFORK)","WALK THE PLANK",,,8672,475,"1,866","2,017","   01  ",324,"8,738","8,738","   02  "
,Oil,08,49056,"MONAHANS, NORTH (CLEARFORK)","MITCHELL, C.",,,,45,0,,,45,0,,
,Oil,08,49301,"MONAHANS, NORTH (CLEARFORK)",MAROONER,,,8107,520,"2,531","2,760","   01  ",291,"11,180","11,180","   02  "
,Oil,08,49353,"MONAHANS, NORTH (CLEARFORK)","FRANCIS DRAKE",,,8146,451,"1,537","1,650","   01  ",338,"17,795","17,795","   02  "
,Oil,08,49490,"MONAHANS, NORTH (CLEARFORK)","SEALY SMITH FOUNDATION -A-",,,8814,"1,795","10,505","10,907","   01  ","1,552","86,159","86,159","   02  "
,Oil,08,49561,"MONAHANS, NORTH (CLEARFORK)",HORNSWOGGLE,,,,552,"5,068","5,076","   01  ",544,"17,677","17,677","   02  "
,Oil,08,50028,"MONAHANS, NORTH (CLEARFORK)","SEALY-SMITH FOUNDATION ""B""",,,,605,"10,370","10,032","   01  ","1,124","64,608","64,608","   02  "
,Oil,08,50090,"MONAHANS, NORTH (CLEARFORK)","PEG LEG",,,,0,0,,,0,0,,
,Oil,08,50130,"MONAHANS, NORTH (CLEARFORK)",COMMANDEER,,,8107,305,"1,808","1,922","   01  ",191,"13,895","13,895","   02  "
,Oil,08,50423,"MONAHANS, NORTH (CLEARFORK)","FRANCIS DRAKE N",,,8146,453,"1,726","1,800","   01  ",379,"8,330","8,330","   02  "
,Oil,08,51085,"MONAHANS, NORTH (CLEARFORK)","GILDED LADY",,,,0,0,,,0,0,,
,Oil,08,51202,"MONAHANS, NORTH (CLEARFORK)","CAPTAIN MORGAN",,,8107,321,"2,262","2,361","   01  ",222,"9,629","9,629","   02  "
,Oil,08,52357,"MONAHANS, NORTH (CLEARFORK)","SPANISH MAIN W",,,8814,258,"2,062","2,140","   01  ",180,"6,758","6,758","   02  "
,Oil,08,52884,"MONAHANS, NORTH (CLEARFORK)",PRIVATEER,,,8844,101,"1,618","1,646","   01  ",73,"3,770","3,770","   02  "
,Oil,08,52891,"MONAHANS, NORTH (CLEARFORK)","DRAKE'S DRUM",,,8844,73,"1,021","1,048","   01  ",46,"6,031","6,031","   02  "
,Oil,08,53009,"MONAHANS, NORTH (CLEARFORK)","CAPTAIN KIDD",,T,,610,"1,437","1,668","   01  ",379,"4,310","4,310","   02  "
,,08,53009,"MONAHANS, NORTH (CLEARFORK)","CAPTAIN KIDD",,,8672,110,347,397,"   01  ",60,,,
,,08,53009,"MONAHANS, NORTH (CLEARFORK)","CAPTAIN KIDD",,,9999,500,"1,090","1,271","   01  ",319,,,
,Oil,08,53084,"MONAHANS, NORTH (CLEARFORK)",DINGHY,,,8844,119,"1,790","1,829","   01  ",80,"11,554","11,554","   02  "
,Oil,08,55529,"MONAHANS, NORTH (CLEARFORK)","MARY READ",,,9602,17,282,277,"   01  ",22,744,744,"   02  "
,Oil,08,55690,"MONAHANS, NORTH (CLEARFORK)","THE DOCTOR",,,8844,180,"2,438","2,509","   01  ",109,"12,391","12,391","   02  "
,Oil,08,55836,"MONAHANS, NORTH (CLEARFORK)","BRASS MONKEY SESE",,,9602,77,"1,179","1,163","   01  ",93,"3,971","3,971","   02  "
,Oil,08,55852,"MONAHANS, NORTH (CLEARFORK)","WIDOW MAKER",,,9602,282,"4,198","4,150","   01  ",330,"22,567","22,567","   02  "
,Oil,08,41270,"MONAHANS, NORTH (GLORIETA)","MITCHELL ""D""",,,,346,414,500,"   01  ",260,2,2,"   02  "
,Oil,08,42979,"MONAHANS, NORTH (GLORIETA)","MITCHELL 'E'",,,,338,389,504,"   01  ",223,4,4,"   02  "
,Oil,08,35894,"RM (CLEARFORK)","WADDELL, W. N.",,,5424,0,0,,,0,0,,
,Gas,08,242283,"RUNNING W (MCKEE)","WADDELL TR A","  544  ",,4030,0,0,,,0,0,,
Y,Oil,08,16889,"RUNNING W (TUBB)","WADDELL TR A",,,4030,71,"1,600","1,621","   00  ",50,"31,057","31,057","   02  "
Y,Gas,08,226228,"RUNNING W (TUBB)","WADDELL TR A"," 1955  ",,4030,63,0,,,23,"3,082","3,082","   02  "
Y,Oil,08,10932,"RUNNING W (WADDELL)","WADDELL TR A",,,4030,203,"3,416","3,440","   00  ",179,"34,028","34,028","   02  "
,Oil,08,24053,"RUNNING W (WADDELL)","WADDELL, W. N. ET AL TR. E",,,,0,0,,,0,0,,
,Gas,08,183068,"RUNNING W (WADDELL)","WADDELL TR A","  380  ",,,0,0,,,0,0,,
,Oil,08,36037,"RUNNING W (WICHITA-ALBANY)","MCKNIGHT, M. B. C",,,6933,7,74,72,"   00  ",9,594,594,"   02  "
Y,Oil,08,48213,"RUNNING W (WICHITA-ALBANY)","WADDELL, W. N.",,T,,14,60,62,"   01  ",12,112,112,"   02  "
,,08,48213,"RUNNING W (WICHITA-ALBANY)","WADDELL, W. N.",,,3501,10,3,5,"   01  ",8,,,
,,08,48213,"RUNNING W (WICHITA-ALBANY)","WADDELL, W. N.",,,7764,4,57,57,"   01  ",4,,,
,Oil,08,55909,"RUNNING W (WICHITA-ALBANY)",LANDLUBBER,,,8026,13,191,190,"   00  ",14,"1,075","1,075","   02  "
,Gas,08,084126,"RUNNING W (WICHITA-ALBANY)","WADDELL TR A"," 1085  ",,4030,0,0,,,0,0,,
,Gas,08,203707,"RUNNING W (WICHITA-ALBANY)","CROLEY ESTATE","    1 T",,5393,0,0,,,0,0,,
,Gas,08,261520,"RUNNING W (WICHITA-ALBANY)","M.B. MCKNIGHT","   10  ",,6933,15,115,117,"   00  ",13,"4,191","4,191","   02  "
,Oil,08,27161,"RUNNING W, N. (HOLT)","MCKNIGHT, M. B. -C-",,,6933,0,0,,,0,0,,
,Oil,08,30866,"RUNNING W, N. (HOLT)","MCKNIGHT, M.B.",,,6933,2,43,40,"   00  ",5,275,275,"   02  "
Y,Oil,08,45532,"SAND HILLS (CLEAR FORK)","WADDELL TR A",,T,,189,"2,342","2,409","   00  ",122,"13,426","13,426","   02  "
