"Search Criteria: "

"Filing Operator:",,,"BLACKBEARD OPERATING, LLC (073056)",,,,,,District:,,Statewide
"Prod Month:",,," Aug 2021",,,,,,"Lease Type:",,Both

,,,,,,,,,"Oil/Condensate (Whole Barrels)",,,,,"Gas/Casinghead Gas - MCF",,
,,,,,,,,,,,Disposition,,,,Disposition,
"Multiple Reports","Lease Type",District,"RRC Identifier","Field Name","Lease Name","Gas Well ID","Lease Total","Commingle Permit No.","On Hand Beginning of Month",Production,Volume,Code,"On Hand End of Month","Formation Production",Volume,Code
,Oil,08,49056,"MONAHANS, NORTH (CLEARFORK)","MITCHELL, C.",,,,45,0,,,45,0,,
,Oil,08,49301,"MONAHANS, NORTH (CLEARFORK)",MAROONER,,,8107,471,"4,277","4,174","   01  ",574,"13,168","13,168","   02  "
Y,Oil,08,49353,"MONAHANS, NORTH (CLEARFORK)","FRANCIS DRAKE",,,8146,459,"2,226","2,229","   01  ",456,"11,483","11,483","   02  "
,Oil,08,49490,"MONAHANS, NORTH (CLEARFORK)","SEALY SMITH FOUNDATION -A-",,,8814,"2,496","15,049","15,341","   01  ","2,204","88,167","88,167","   02  "
,Oil,08,49561,"MONAHANS, NORTH (CLEARFORK)",HORNSWOGGLE,,,,668,"6,684","6,842","   01  ",510,"18,896","18,896","   02  "
Y,Oil,08,50028,"MONAHANS, NORTH (CLEARFORK)","SEALY-SMITH FOUNDATION ""B""",,,,997,"8,880","8,418","   01  ","1,459","61,567","61,567","   02  "
,Oil,08,50090,"MONAHANS, NORTH (CLEARFORK)","PEG LEG",,,,0,0,,,0,0,,
,Oil,08,50130,"MONAHANS, NORTH (CLEARFORK)",COMMANDEER,,,8107,286,"2,050","2,102","   01  ",234,"14,056","14,056","   02  "
,Oil,08,50423,"MONAHANS, NORTH (CLEARFORK)","FRANCIS DRAKE N",,,8146,341,"1,859","1,819","   01  ",381,"8,768","8,768","   02  "
,Oil,08,51085,"MONAHANS, NORTH (CLEARFORK)","GILDED LADY",,,,0,0,,,0,0,,
,Oil,08,51202,"MONAHANS, NORTH (CLEARFORK)","CAPTAIN MORGAN",,,8107,344,"2,486","2,593","   01  ",237,"11,045","11,045","   02  "
,Oil,08,52357,"MONAHANS, NORTH (CLEARFORK)","SPANISH MAIN W",,,8814,278,"2,516","2,651","   01  ",143,"10,334","10,334","   02  "
,Oil,08,52884,"MONAHANS, NORTH (CLEARFORK)",PRIVATEER,,,8844,142,"1,890","1,881","   01  ",151,"4,416","4,416","   02  "
,Oil,08,52891,"MONAHANS, NORTH (CLEARFORK)","DRAKE'S DRUM",,,8844,91,"1,201","1,196","   01  ",96,"8,853","8,853","   02  "
,Oil,08,53009,"MONAHANS, NORTH (CLEARFORK)","CAPTAIN KIDD",,T,,565,"1,816","1,848","   01  ",533,"5,086","5,086","   02  "
