"Search Criteria: "

"Filing Operator:",,,"BLACKBEARD OPERATING, LLC (073056)",,,,,,District:,,Statewide
"Prod Month:",,," Apr 2021",,,,,,"Lease Type:",,Both

,,,,,,,,,"Oil/Condensate (Whole Barrels)",,,,,"Gas/Casinghead Gas - MCF",,
,,,,,,,,,,,Disposition,,,,Disposition,
"Multiple Reports","Lease Type",District,"RRC Identifier","Field Name","Lease Name","Gas Well ID","Lease Total","Commingle Permit No.","On Hand Beginning of Month",Production,Volume,Code,"On Hand End of Month","Formation Production",Volume,Code
,Oil,08,20084,"GOLDSMITH, N. (SAN ANDRES, CON.)","SCHARBAUER -N-",,,,18,0,,,18,0,,
,Oil,08,03218,KERMIT,"WALTON, J. B.",,,5009,128,193,165,"   01  ",156,128,128,"   02  "
,Oil,08,03264,"KERMIT (ELLENBURGER)","STATE WALTON -E-",,,,197,991,"1,003","   01  ",185,"17,701","17,701","   02  "
Y,Oil,08,36172,"KERMIT (MCKEE)","STATE WALTON -E- A/C 4",,,,164,28,,,192,"1,235","1,235","   02  "
,Gas,08,159640,"KERMIT (MCKEE)","STATE-WALTON ""E""","   27  ",,,154,67,175,"   01  ",46,"1,078","1,078","   02  "
,Gas,08,176381,"KERMIT (MCKEE)","STATE-WALTON -E- A/C 4","    1M ",,5439,0,0,,,0,0,,
,Gas,08,177879,"KERMIT (MCKEE)","STATE-WALTON ""E""","   36M ",,5439,0,0,,,0,774,774,"   02  "
,Gas,08,178576,"KERMIT (MCKEE)","STATE-WALTON ""E""","   35M ",,5439,0,0,,,0,710,710,"   02  "
,Gas,08,178577,"KERMIT (MCKEE)","STATE-WALTON ""E""","   37M ",,5439,0,0,,,0,"2,796","2,796","   02  "
,Gas,08,202802,"KERMIT (MCKEE)","STATE WALTON -E-","   34M ",,5439,0,0,,,0,"1,548","1,548","   02  "
,Gas,08,020262,"KERMIT (YATES)",STATE-WALTON,"   36 C",,,0,0,,,0,179,179,"   02  "
,Gas,08,039223,"KERMIT (YATES)","WALTON, J. B.","  300 U",,,0,0,,,0,255,255,"   02  "
,Gas,08,113075,"KERMIT (YATES)","WALTON, J. B.","  218  ",,,0,0,,,0,32,32,"   02  "
,Gas,08,125356,"KERMIT (YATES)","WALTON, J. B.","  319  ",,,0,0,,,0,67,67,"   02  "
,Gas,08,125849,"KERMIT (YATES)","STATE WALTON","   76  ",,,0,0,,,0,161,161,"   02  "
,Gas,08,125923,"KERMIT (YATES)","WALTON, J. B.","  320  ",,,0,0,,,0,0,,
,Gas,08,125924,"KERMIT (YATES)","WALTON, J. B.","  321  ",,,0,0,,,0,184,184,"   02  "
,Gas,08,126251,"KERMIT (YATES)","WALTON, J. B.","  324  ",,,0,0,,,0,258,258,"   02  "
,Gas,08,126252,"KERMIT (YATES)","WALTON, J. B.","  325  ",,,0,0,,,0,187,187,"   02  "
,Gas,08,126253,"KERMIT (YATES)","WALTON, J. B.","  327  ",,,0,0,,,0,0,,
,Gas,08,126254,"KERMIT (YATES)","WALTON, J. B.","  328  ",,,0,0,,,0,137,137,"   02  "
,Gas,08,126255,"KERMIT (YATES)","WALTON, J. B.","  329  ",,,0,0,,,0,59,59,"   02  "
,Gas,08,126354,"KERMIT (YATES)","WALTON, J. B.","  296  ",,,0,0,,,0,177,177,"   02  "
,Gas,08,128612,"KERMIT (YATES)",STATE-WALTON,"   71  ",,,0,0,,,0,327,327,"   02  "
,Gas,08,128948,"KERMIT (YATES)","WALTON, J. B.","  330  ",,,0,0,,,0,23,23,"   02  "
,Gas,08,128959,"KERMIT (YATES)","WALTON, J. B.","  335  ",,,0,0,,,0,18,18,"   02  "
,Gas,08,129967,"KERMIT (YATES)","WALTON, J. B.","  337  ",,,0,0,,,0,59,59,"   02  "
,Gas,08,129968,"KERMIT (YATES)","WALTON, J. B.","  338  ",,,0,0,,,0,756,756,"   02  "
,Gas,08,130227,"KERMIT (YATES)","WALTON, J. B.","  332  ",,,0,0,,,0,22,22,"   02  "
,Gas,08,130310,"KERMIT (YATES)","WALTON, J. B.","  339  ",,,0,0,,,0,63,63,"   02  "
,Gas,08,130375,"KERMIT (YATES)","WALTON, J. B.","  342  ",,,0,0,,,0,210,210,"   02  "
,Gas,08,130531,"KERMIT (YATES)",STATE-WALTON,"   85  ",,,0,0,,,0,381,381,"   02  "
,Gas,08,130657,"KERMIT (YATES)","WALTON, J. B.","  341  ",,5009,0,0,,,0,41,41,"   02  "
,Gas,08,130798,"KERMIT (YATES)","WALTON, J. B.","  286  ",,,0,0,,,0,221,221,"   02  "
,Gas,08,131342,"KERMIT (YATES)","STATE WALTON","   87  ",,,0,0,,,0,833,833,"   02  "
,Gas,08,131343,"KERMIT (YATES)","STATE WALTON","   86  ",,,0,0,,,0,175,175,"   02  "
,Gas,08,131838,"KERMIT (YATES)","WALTON, J. B.","  314  ",,,0,0,,,0,425,425,"   02  "
,Gas,08,132004,"KERMIT (YATES)","WALTON, J. B.","  336  ",,,0,0,,,0,951,951,"   02  "
,Gas,08,133925,"KERMIT (YATES)","STATE WALTON","   88  ",,,0,0,,,0,130,130,"   02  "
,Gas,08,134801,"KERMIT (YATES)","WALTON, J. B.","  346  ",,,0,0,,,0,261,261,"   02  "
,Gas,08,150248,"KERMIT (YATES)","WALTON, J. B.","  194  ",,,0,0,,,0,199,199,"   02  "
,Gas,08,150252,"KERMIT (YATES)","WALTON, J.B. AC/2","  198  ",,,0,0,,,0,190,190,"   02  "
,Gas,08,151063,"KERMIT (YATES)","STATE WALTON","   67  ",,,0,0,,,0,442,442,"   02  "
,Gas,08,153552,"KERMIT (YATES)","STATE WALTON","   69  ",,,0,0,,,0,0,,
,Gas,08,154633,"KERMIT (YATES)","WALTON, J. B.","  297  ",,,0,0,,,0,274,274,"   02  "
