"Search Criteria: "

"Filing Operator:",,,"BLACKBEARD OPERATING, LLC (073056)",,,,,,District:,,Statewide
"Prod Month:",,," Feb 2021",,,,,,"Lease Type:",,Both

,,,,,,,,,"Oil/Condensate (Whole Barrels)",,,,,"Gas/Casinghead Gas - MCF",,
,,,,,,,,,,,Disposition,,,,Disposition,
"Multiple Reports","Lease Type",District,"RRC Identifier","Field Name","Lease Name","Gas Well ID","Lease Total","Commingle Permit No.","On Hand Beginning of Month",Production,Volume,Code,"On Hand End of Month","Formation Production",Volume,Code
,Oil,08,43007,"KEYSTONE (SAN ANDRES)","EAST KEYSTONE(SAN A HOLT UNIT)",,,,91,113,129,"   01  ",75,451,451,"   02  "
,Oil,08,26628,"KEYSTONE, SW. (SAN ANDRES)","KEYSTONE CATTLE COMPANY",,,5122,332,791,820,"   01  ",303,620,620,"   02  "
,Oil,08,17869,"LEA (SAN ANDRES)","WADDELL, W. N. ET AL TR. H",,,4352,5,25,21,"   00  ",9,0,,
,Oil,08,20935,"LEA, SOUTH (CLEAR FORK)","WADDELL, W. N. ET AL TR. H",,,4352,32,203,163,"   00  ",72,0,,
,Oil,08,28619,"LEA, SOUTH (SAN ANGELO)","WADDELL, W.N. ETAL TR. H",,,4352,120,737,595,"   00  ",262,0,,
,Oil,08,26509,"MARSTON RANCH (CLEARFORK)",EDWARDS,,,,159,21,,,180,0,,
,Oil,08,40713,"MARSTON RANCH (CLEARFORK)",WINTER,,,,352,793,851,"   01  ",294,"2,329","2,329","   02  "
,Oil,08,42684,"MARSTON RANCH (CLEARFORK)",GRAHAM,,,,686,"2,611","2,487","   01  ",810,"6,711","6,711","   02  "
,Oil,08,43408,"MARSTON RANCH (CLEARFORK)","DAVID L. MARSTON",,,,535,"1,954","1,813","   01  ",676,"7,600","7,600","   02  "
,Oil,08,44073,"MARSTON RANCH (CLEARFORK)",ALLAR-MARSTON,,,7588,297,844,536,"   01  ",605,"1,828","1,828","   02  "
Y,Oil,08,45832,"MARSTON RANCH (CLEARFORK)",MARSTON-KOEHN,,,,156,220,169,"   01  ",207,146,146,"   02  "
,Oil,08,46148,"MARSTON RANCH (CLEARFORK)",DABB,,,,214,74,185,"   01  ",103,154,154,"   02  "
,Oil,08,47993,"MARSTON RANCH (CLEARFORK)","EDWARD TEACH",,,7649,203,511,491,"   01  ",223,"1,212","1,212","   02  "
,Oil,08,48135,"MARSTON RANCH (CLEARFORK)","QUEEN ANNES REVENGE",,,,381,"1,075",903,"   01  ",553,"3,719","3,719","   02  "
,Oil,08,48336,"MARSTON RANCH (CLEARFORK)","EDWARD TEACH SE",,,7649,136,268,287,"   01  ",117,"1,040","1,040","   02  "
,Oil,08,49375,"MARSTON RANCH (CLEARFORK)","EDWARD TEACH SW",,,7649,76,64,112,"   01  ",28,138,138,"   02  "
,Oil,08,51749,"MARSTON RANCH (CLEARFORK)","MAN OF WAR W",,,7903,0,0,,,0,0,,
,Oil,08,53025,"MARSTON RANCH (CLEARFORK)","BLACK BART",,,7903,140,0,,,140,0,,
,Oil,08,53422,"MARSTON RANCH (CLEARFORK)",SWASHBUCKLER,,,7781,222,249,148,"   01  ",323,"1,207","1,207","   02  "
,Oil,08,53498,"MARSTON RANCH (CLEARFORK)","SWASHBUCKLER SE",,,7781,45,30,30,"   01  ",45,278,278,"   02  "
,Oil,08,04232,"MCKEE (CLEAR FORK, LOWER)","WADDELL, W. N., ETAL",,,3803,0,0,,,0,0,,
,Gas,08,186517,"MCKEE (CLEAR FORK, MID.)","WADDELL, W. N. ET AL TR. I","  218  ",,3803,0,0,,,0,135,135,"   02  "
,Gas,08,192876,"MCKEE (CLEAR FORK, MID.)","WADDELL, W. N. ET AL TR. I","  301  ",,3803,0,0,,,0,415,415,"   02  "
,Gas,08,194368,"MCKEE (CLEAR FORK, MID.)","WADDELL, W. N. ET AL","  232  ",,3803,0,0,,,0,268,268,"   02  "
,Gas,08,212805,"MCKEE (CLEAR FORK, MID.)","WADDELL, W. N. ET AL","  261  ",,,0,0,,,0,0,,
,Oil,08,24408,"MCKEE (WOLFCAMP)","WADDELL, W. N. ET AL TR 1",,,3803,0,0,,,0,0,,
,Oil,08,50100,"MONAHANS (CLEAR FORK)",DOUBLOON,,,,172,0,,,172,0,,
,Oil,08,52655,"MONAHANS (CLEAR FORK)","OCRACOKE ISLAND",,,,85,0,,,85,0,,
,Oil,08,51099,"MONAHANS, NORTH","SEALY SMITH FOUNDATION -A-",,,8814,880,"4,948","4,721","   01  ","1,107","60,564","60,564","   02  "
,Oil,08,55551,"MONAHANS, NORTH","NELSON'S FOLLY",,,8814,59,433,426,"   01  ",66,551,551,"   02  "
,Oil,08,55726,"MONAHANS, NORTH",DORADO,,,,241,0,,,241,0,,
,Oil,08,34235,"MONAHANS, NORTH (CLEARFORK)","HOGG, F. H.",,,8146,92,29,,,121,0,,
,Oil,08,48675,"MONAHANS, NORTH (CLEARFORK)","WALK THE PLANK",,,8672,610,"2,161","2,217","   01  ",554,"10,422","10,422","   02  "
,Oil,08,49056,"MONAHANS, NORTH (CLEARFORK)","MITCHELL, C.",,,,45,0,,,45,0,,
,Oil,08,49301,"MONAHANS, NORTH (CLEARFORK)",MAROONER,,,8107,580,"6,635","6,063","   01  ","1,152","20,133","20,133","   02  "
Y,Oil,08,49353,"MONAHANS, NORTH (CLEARFORK)","FRANCIS DRAKE",,,8146,490,"4,741","4,507","   01  ",724,"16,592","16,592","   02  "
,Oil,08,49490,"MONAHANS, NORTH (CLEARFORK)","SEALY SMITH FOUNDATION -A-",,,8814,"3,403","15,286","14,222","   01  ","4,467","94,992","94,992","   02  "
,Oil,08,49561,"MONAHANS, NORTH (CLEARFORK)",HORNSWOGGLE,,,,612,"8,188","7,825","   01  ",975,"20,114","20,114","   02  "
Y,Oil,08,50028,"MONAHANS, NORTH (CLEARFORK)","SEALY-SMITH FOUNDATION ""B""",,,,"1,156","10,755","11,011","   01  ",900,"65,021","65,021","   02  "
,Oil,08,50090,"MONAHANS, NORTH (CLEARFORK)","PEG LEG",,,,0,0,,,0,0,,
,Oil,08,50130,"MONAHANS, NORTH (CLEARFORK)",COMMANDEER,,,8107,280,"2,325","2,232","   01  ",373,"16,985","16,985","   02  "
Y,Oil,08,50423,"MONAHANS, NORTH (CLEARFORK)","FRANCIS DRAKE N",,,8146,465,"1,914","1,970","   01  ",409,"7,691","7,691","   02  "
,Oil,08,51085,"MONAHANS, NORTH (CLEARFORK)","GILDED LADY",,,,0,0,,,0,0,,
,Oil,08,51202,"MONAHANS, NORTH (CLEARFORK)","CAPTAIN MORGAN",,,8107,241,"3,003","2,792","   01  ",452,"11,292","11,292","   02  "
,Oil,08,52357,"MONAHANS, NORTH (CLEARFORK)","SPANISH MAIN W",,,8814,467,"2,818","2,735","   01  ",550,"9,170","9,170","   02  "
